Data,Sentiment
. الجو اليوم so nice ما شاء الله,Positive
"يا جماعة ، لا تنسون إنه عندنا meeting بكرة !",Neutral
" والله today كان يوم hectic ، والشغل كان مرره overwhelming.",Negative
".هلا ، how are you doing اليوم ؟",Neutral
I was thinking اروح للسوق ولكن I decided to stay home.,Neutral
: بدأت أشتغل on my new project والموضوع جداً exciting لأنه something I've been passionate about for years,Positive
I can't believe أنك نسيت تجيب الهدية لعيد ميلادي !,Negative
"I'm really hungry , وش رايكم نطلب بيتزا tonight ?",Neutral
I can't believe راح نسافر بكرة Dubai .,Positive
"Today , رايح أزور أهلي because it's been a long time .",Neutral
I can't believe ما رحت السوق yesterday because كنت مشغول with work all day .,Negative
I can't wait to travel بس لازم أخلص شغلي الأول .,Neutral
I can't wait to أزور الرياض لأنه الجو there is amazing in the winter .,Positive
I love visiting الرياض during the winter because الطقس يكون جميل جداً .,Positive
"I’m running late , السيارة ما اشتغلت !",Negative
Today الجو كان حار so I decided to stay indoors واسترخي .,Neutral
I’m so tired الحين وتوني راجع من السفر .,Negative
What's the plan اليوم بعد الجامعة ؟,Neutral
"Yesterday , رحت لمطعم وشفت there was a new menu .",Neutral
Yesterday أنا رحت للسوق and bought some fresh vegetables عشان أعمل dinner for my family .,Neutral
الحين we’re going to the market عشان نشتري some groceries .,Neutral
"I'm feeling tired , بس لازم أخلص الشغل قبل الويكند .",Negative
Last weekend رحنا البحر we had a great time وسوينا شواء with friends .,Positive
Today الجو كان جداً حار in Riyadh !,Negative
Today رح أزور صديقي في الرياض to catch up and have dinner with him .,Neutral
‏الخطة الأسبوع الجاي إن شاء الله we will go hiking in Alula .,Neutral
We went to the mall ومع الأسف كان زحمة !,Negative
المسا اشتريت a new car من الوكالة وعندي plans to go on a road trip بكرة .,Neutral
الويكند الجاي إن شاء الله I'm planning a trip to Dubai .,Neutral
الويكند الجاي بنروح للبحر عشان نعمل some jet skiing .,Neutral
"Wow ، المطعم اليوم كان جداً crowded ، ما قدرنا نحجز طاولة .",Negative
"Yesterday , رحت للسوق to buy some groceries and , you know , كان مرة زحمة !",Negative
Yesterday أنا رحت للسوق with my friends وحنا انبسطنا كثير .,Positive
ابغى أشتري a new car بس الميزانية ما تسمح right now .,Negative
الويكند الجاي بنسافر للخبر with the family .,Neutral
"الجو اليوم is really nice , ومناسب إنك تقضي وقتك with friends .",Positive
"الجو اليوم so nice and cool ، وش رايك نطلع نسوي something fun ؟",Positive
الويكند هذا حروح مع الشباب لل desert عشان نعمل campfire ونشوي .,Neutral
